Vendor,Title,CVE,CVSS,Date of NVD publication,Date of vendor advisory,Used in ransomware attacks?,Summary,Date added to KEV Catalog,Vendor Advisory,Date of Known Exploitation,Threat actor,Targets,Metasploit Module,Grey Noise (#of Malicious IPs Scanning),Number of vulnerable devices,Number of impacted devices,Grey Noise Link
Cisco,Cisco IOS and XE Software Internet Key Exchange Memory Leak Vulnerability,CVE-2018-0158,8.6,3/28/18,3/28/18,Unknown,"A vulnerability in the implementation of Internet Key Exchange Version 1 (IKEv1) functionality in Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-ike.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0158
Cisco,Cisco IOS Software and Cisco IOS XE Software Smart Install Denial-of-Service Vulnerability,CVE-2018-0156,7.5,3/28/18,3/28/18,Unknown,"A vulnerability in the Smart Install feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to trigger a reload of an affected device, resulting in a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-smi.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0156
Cisco,Cisco Catalyst Bidirectional Forwarding Detection Denial-of-Service Vulnerability,CVE-2018-0155,8.6,3/28/18,3/28/18,Unknown,"A vulnerability in the Bidirectional Forwarding Detection (BFD) offload implementation of Cisco Catalyst 4500 Series Switches and Cisco Catalyst 4500-X Series Switches could allow an unauthenticated, remote attacker to cause a crash of the iosd process, causing a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-bfd.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0155
Cisco,Cisco IOS Software Integrated Services Module for VPN Denial-of-Service Vulnerability,CVE-2018-0154,7.5,3/28/18,3/28/18,Unknown,"A vulnerability in the crypto engine of the Cisco Integrated Services Module for VPN (ISM-VPN) running Cisco IOS Software could allow an unauthenticated, remote attacker to cause a denial-of-service (DoS) condition.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-dos.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0154
Cisco,Cisco IOS Software and Cisco IOS XE Software Quality of Service Remote Code Execution Vulnerability,CVE-2018-0151,9.8,3/28/18,3/28/18,Unknown,"A vulnerability in the quality of service (QoS) subsystem of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition or execute arbitrary code with elevated privileges.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180328-qos.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0151
Cisco,Cisco IOS Software SNMP Remote Code Execution Vulnerability,CVE-2017-6744,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS 1 contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload. An attacker could exploit these vulnerabilities by sending a crafted SNMP packet to an affected system via IPv4 or IPv6.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6744
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6743,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6743
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6740,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6740
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6739,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6739
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6738,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6738
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6737,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,Pawn Storm,Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6737
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6736,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,"Sea Turtle campaign, Pawn Storm","Government,Energy",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6736
Cisco,Cisco IOS Software and Cisco IOS XE Software Denial-of-Service Vulnerability,CVE-2017-6663,6.5,8/7/17,7/26/17,Unknown,"A vulnerability in the Autonomic Networking feature of Cisco IOS Software and Cisco IOS XE Software could allow an unauthenticated, adjacent attacker to cause autonomic nodes of an affected system to reload, resulting in denial-of-service (DoS).",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170726-anidos.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6663
Cisco,Cisco IOS Software and Cisco IOS XE Software UDP Packet Processing Denial-of-Service Vulnerability,CVE-2017-6627,7.5,9/7/17,9/6/17,Unknown,"A vulnerability in the UDP processing code of Cisco IOS and IOS XE could allow an unauthenticated, remote attacker to cause the input queue of an affected system to hold UDP packets, causing an interface queue wedge and denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170906-ios-udp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6627
Cisco,Cisco IOS XE Software Ethernet Virtual Private Network Border Gateway Protocol Denial-of-Service Vulnerability,CVE-2017-12319,5.9,3/27/18,11/3/17,Unknown,"A vulnerability in the Border Gateway Protocol (BGP) over an Ethernet Virtual Private Network (EVPN) for Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause the device to reload, resulting in a denial of service (DoS) condition, or potentially corrupt the BGP routing table, which could result in network instability.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20171103-bgp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12319
Cisco,Cisco IOS and IOS XE Software DHCP Remote Code Execution Vulnerability,CVE-2017-12240,9.8,9/28/17,9/27/17,Unknown,"The Dynamic Host Configuration Protocol (DHCP) relay subsystem of Cisco IOS and Cisco IOS XE Software contains a vulnerability that could allow an unauthenticated, remote attacker to execute arbitrary code and gain full control of an affected system.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-dhcp.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12240
Cisco,Cisco Catalyst 6800 Series Switches VPLS Denial-of-Service Vulnerability,CVE-2017-12238,6.5,9/28/17,9/27/17,Unknown,"A vulnerability in the Virtual Private LAN Service (VPLS) code of Cisco IOS for Cisco Catalyst 6800 Series Switches could allow an unauthenticated, adjacent attacker to cause a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-vpls.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12238
Cisco,Cisco IOS and IOS XE Software Internet Key Exchange Denial-of-Service Vulnerability,CVE-2017-12237,7.5,9/28/17,9/27/17,Unknown,"A vulnerability in the Internet Key Exchange Version 2 (IKEv2) module of Cisco IOS and Cisco IOS XE could allow an unauthenticated, remote attacker to cause high CPU utilization, traceback messages, or a reload of an affected device that leads to a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-ike.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12237
Cisco,Cisco IOS Software for Cisco Industrial Ethernet Switches PROFINET Denial-of-Service Vulnerability,CVE-2017-12235,7.5,9/28/17,9/27/17,Unknown,"A vulnerability in the implementation of the PROFINET Discovery and Configuration Protocol (PN-DCP) for Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-profinet.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12235
Cisco,Cisco IOS Software Common Industrial Protocol Request Denial-of-Service Vulnerability,CVE-2017-12234,7.5,9/28/17,9/27/17,Unknown,"There is a vulnerability in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-cip.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12234
Cisco,Cisco IOS Software Common Industrial Protocol Request Denial-of-Service Vulnerability,CVE-2017-12233,7.5,9/28/17,9/27/17,Unknown,"There is a vulnerability in the implementation of the Common Industrial Protocol (CIP) feature in Cisco IOS could allow an unauthenticated, remote attacker to cause an affected device to reload, resulting in a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-cip.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12233
Cisco,Cisco IOS Software for Cisco Integrated Services Routers Denial-of-Service Vulnerability,CVE-2017-12232,6.5,9/28/17,9/27/17,Unknown,"A vulnerability in the implementation of a protocol in Cisco Integrated Services Routers Generation 2 (ISR G2) Routers running Cisco IOS could allow an unauthenticated, adjacent attacker to cause an affected device to reload, resulting in a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-rbip-dos.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12232
Cisco,Cisco IOS Software Network Address Translation Denial-of-Service Vulnerability,CVE-2017-12231,7.5,9/28/17,9/27/17,Unknown,"A vulnerability in the implementation of Network Address Translation (NAT) functionality in Cisco IOS could allow an unauthenticated, remote attacker to cause a denial of service.",3/3/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170927-nat.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-12231
Cisco,Cisco Secure Access Control System Java Deserialization Vulnerability,CVE-2018-0147,9.8,3/8/18,3/7/18,Unknown,"A vulnerability in Java deserialization used by Cisco Secure Access Control System (ACS) could allow an unauthenticated, remote attacker to execute arbitrary commands on an affected device. The vulnerability is due to insecure deserialization of user-supplied content by the affected software.",3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180307-acs2.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0147
Cisco,Cisco VPN Routers Remote Code Execution Vulnerability,CVE-2018-0125,9.8,2/8/18,2/7/18,Unknown,"A vulnerability in the web interface of the Cisco VPN Routers could allow an unauthenticated, remote attacker to execute arbitrary code as root and gain full control of an affected system.",3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20180207-rv13x.html,Mar-22,Unknown,Unknown,N,27,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2018-0125
Cisco,Cisco IOS and IOS XE Remote Code Execution Vulnerability,CVE-2017-3881,9.8,3/17/17,3/17/17,Unknown,"A vulnerability in the Cisco Cluster Management Protocol (CMP) processing code in Cisco IOS and Cisco IOS XE Software could allow an unauthenticated, remote attacker to cause a reload of an affected device or remotely execute code with elevated privileges.",3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170317-cmp.html,Apr-19,Sea Turtle campaign,"Energy,Government",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-3881
Cisco,Cisco Prime Data Center Network Manager (DCNM) Directory Traversal Vulnerability,CVE-2015-0666,7.8,4/3/15,4/1/15,Unknown,Directory traversal vulnerability in the fmserver servlet in Cisco Prime Data Center Network Manager (DCNM) allows remote attackers to read arbitrary files.,3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20150401-dcnm.html,Mar-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2015-0666
Cisco,Cisco IOS XR Border Gateway Protocol (BGP) Denial-of-Service Vulnerability,CVE-2010-3035,7.5,8/30/10,8/27/10,Unknown,"Cisco IOS XR, when BGP is the configured routing feature, allows remote attackers to cause a denial-of-service (DoS).",3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20100827-bgp.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2010-3035
Cisco,Cisco IOS XR Border Gateway Protocol (BGP) Denial-of-Service Vulnerability,CVE-2009-2055,4.3,8/19/09,8/18/09,Unknown,"Cisco IOS XR,when BGP is the configured routing feature, allows remote attackers to cause a denial-of-service (DoS).",3/25/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20090818-bgp.html,Aug-09,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2009-2055
Cisco,Cisco IOS XR Open Port Vulnerability,CVE-2022-20821,6.5,5/26/22,5/20/22,Unknown,Cisco IOS XR software health check opens TCP port 6379 by default on activation. An attacker can connect to the Redis instance on the open port and allow access to the Redis instance that is running within the NOSi container.,5/23/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-iosxr-redis-ABJyE5xK.html,May-22,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-20821
Cisco,Cisco Adaptive Security Appliance (ASA) SNMP Buffer Overflow Vulnerability,CVE-2016-6366,8.8,8/18/16,8/17/16,Unknown,A buffer overflow vulnerability in the Simple Network Management Protocol (SNMP) code of Cisco ASA software could allow an attacker to cause a reload of the affected system or to remotely execute code.,5/24/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20160817-asa-snmp.html,Aug-16,Unknown,Individuals,Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2016-6366
Cisco,Cisco Adaptive Security Appliance (ASA) CLI Remote Code Execution Vulnerability,CVE-2016-6367,7.8,8/18/16,8/17/16,Unknown,"A vulnerability in the command-line interface (CLI) parser of Cisco ASA software could allow an authenticated, local attacker to create a denial-of-service (DoS) condition or potentially execute code.",5/24/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20160817-asa-cli.html,Aug-16,Unknown,Individuals,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2016-6367
Cisco,Cisco RV Series Routers Deserialization of Untrusted Data Vulnerability,CVE-2019-15271,8.8,11/25/19,11/6/19,Unknown,A deserialization of untrusted data vulnerability in the web-based management interface of certain Cisco Small Business RV Series Routers could allow an attacker to execute code with root privileges.,6/8/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20191106-sbrv-cmd-x.html,Jun-22,Possible PRC state actors,"Telecommunications,Network service providers",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2019-15271
Cisco,Cisco AnyConnect Secure Mobility Client for Windows DLL Hijacking Vulnerability,CVE-2020-3433,7.8,8/17/20,8/5/20,Known,Cisco AnyConnect Secure Mobility Client for Windows interprocess communication (IPC) channel allows for insufficient validation of resources that are loaded by the application at run time. An attacker with valid credentials on Windows could execute code on the affected machine with SYSTEM privileges.,10/24/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-anyconnect-dll-F26WwJW.html,Oct-22,Unknown,Unknown,Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3433
Cisco,Cisco AnyConnect Secure Mobility Client for Windows Uncontrolled Search Path Vulnerability,CVE-2020-3153,6.5,2/19/20,2/19/20,Known,"Cisco AnyConnect Secure Mobility Client for Windows allows for incorrect handling of directory paths. An attacker with valid credentials on Windows would be able to copy malicious files to arbitrary locations with system level privileges. This could include DLL pre-loading, DLL hijacking, and other related attacks.",10/24/22,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-ac-win-path-traverse-qO4HWBsj.html,Oct-22,Unknown,Individuals,Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3153
Cisco,Cisco IOS and IOS XE Software SNMP Remote Code Execution Vulnerability,CVE-2017-6742,8.8,7/17/17,6/29/17,Unknown,"The Simple Network Management Protocol (SNMP) subsystem of Cisco IOS and IOS XE contains a vulnerability that could allow an authenticated, remote attacker to remotely execute code on an affected system or cause an affected system to reload.",4/19/23,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20170629-snmp.html,Unknown,"Pawn Storm, APT48",Government,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-6742
Cisco,Cisco IOS Denial-of-Service Vulnerability,CVE-2004-1464,5.9,12/31/04,8/27/04,Unknown,"Cisco IOS contains an unspecified vulnerability that may block further telnet, reverse telnet, Remote Shell (RSH), Secure Shell (SSH), and in some cases, Hypertext Transport Protocol (HTTP) access to the Cisco device.",5/19/23,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20040827-telnet.html,Unknown,Unknown,Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2004-1464
Cisco,"Cisco IOS, IOS XR, and IOS XE IKEv1 Information Disclosure Vulnerability",CVE-2016-6415,7.5,9/18/16,9/16/16,Unknown,"Cisco IOS, IOS XR, and IOS XE contain insufficient condition checks in the part of the code that handles Internet Key Exchange version 1 (IKEv1) security negotiation requests. contains an information disclosure vulnerability in the Internet Key Exchange version 1 (IKEv1) that could allow an attacker to retrieve memory contents. Successful exploitation could allow the attacker to retrieve memory contents, which can lead to information disclosure.",5/19/23,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-20160916-ikev1.html,Unknown,Unknown,"Telecommunications,Education,Government,Healthcare,Technology",Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2016-6415
Cisco,Cisco Adaptive Security Appliance and Firepower Threat Defense Unauthorized Access Vulnerability,CVE-2023-20269,9.1,9/6/23,9/6/23,Known,"Cisco Adaptive Security Appliance and Firepower Threat Defense contain an unauthorized access vulnerability that could allow an unauthenticated, remote attacker to conduct a brute force attack in an attempt to identify valid username and password combinations or establish a clientless SSL VPN session with an unauthorized user.",9/13/23,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-asaftd-ravpn-auth-8LyfCkeC.html,Aug-23,"Akira, LockBit, Noberus,m Cl0p, Storm-1567","Banking,Transportation,Construction,Consulting,Government,Retail,Education,Critical infrastructure",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-20269
Cisco,Cisco IOS and IOS XE Group Encrypted Transport VPN Out-of-Bounds Write Vulnerability,CVE-2023-20109,6.6,9/27/23,9/27/23,Unknown,"Cisco IOS and IOS XE contain an out-of-bounds write vulnerability in the Group Encrypted Transport VPN (GET VPN) feature that could allow an authenticated, remote attacker who has administrative control of either a group member or a key server to execute malicious code or cause a device to crash.",10/10/23,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-getvpn-rce-g8qR68sx.html,Sep-23,Lazarus Group,"Cryptocurrency,Finance,Military",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-20109
Cisco,Cisco IOS XE Web UI Privilege Escalation Vulnerability,CVE-2023-20198,10,10/16/23,10/16/23,Unknown,"Cisco IOS XE Web UI contains a privilege escalation vulnerability in the web user interface that could allow a remote, unauthenticated attacker to create an account with privilege level 15 access. The attacker can then use that account to gain control of the affected device.",10/16/23,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxe-webui-privesc-j22SaA4z,Unknown,"UAT4356, Lazarus Group, Higaisa, Arid Viper","Telecommunications,Energy,Government,Cryptocurrency,Finance,Military",Y,21,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-20198
Cisco,Cisco IOS XE Web UI Command Injection Vulnerability,CVE-2023-20273,7.2,10/25/23,10/16/23,Unknown,"Cisco IOS XE Web UI contains a privilege escalation vulnerability in the web user interface that could allow a remote, unauthenticated attacker to create an account with privilege level 15 access. The attacker can then use that account to gain control of the affected device.",10/23/23,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxe-webui-privesc-j22SaA4z,Unknown,"UAT4356, Arid Viper","Government,Energy,Telecommunications",Y,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-20273
Cisco,Cisco ASA and FTD Information Disclosure Vulnerability,CVE-2020-3259,7.5,5/6/20,5/6/20,Known,"Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an information disclosure vulnerability. An attacker could retrieve memory contents on an affected device, which could lead to the disclosure of confidential information due to a buffer tracking issue when the software parses invalid URLs that are requested from the web services interface. This vulnerability affects only specific AnyConnect and WebVPN configurations.",2/15/24,https://www.cisco.com/c/en/us/support/docs/csa/cisco-sa-asaftd-info-disclose-9eJtycMB.html,Feb-24,"Storm-1567, Akira","Transportation,Critical infrastructure,Healthcare",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-3259
Cisco,Cisco ASA and FTD Privilege Escalation Vulnerability,CVE-2024-20359,6,4/24/24,4/24/24,Unknown,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain a privilege escalation vulnerability that can allow local privilege escalation from Administrator to root.,4/24/24,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-persist-rce-FLsNXF4h,Unknown,UAT4356,"Telecommunications,Energy,Government",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2024-20359
Cisco,Cisco ASA and FTD Denial of Service Vulnerability,CVE-2024-20353,8.6,4/24/24,4/24/24,Unknown,Cisco Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD) contain an infinite loop vulnerability that can lead to remote denial of service condition.,4/24/24,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-websrvs-dos-X8gNucD2,Unknown,UAT4356,"Telecommunications,Energy,Government",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2024-20353
Cisco,Cisco NX-OS Command Injection Vulnerability,CVE-2024-20399,6.7,7/1/24,7/1/24,Unknown,"Cisco NX-OS contains a command injection vulnerability in the command line interface (CLI) that could allow an authenticated, local attacker to execute commands as root on the underlying operating system of an affected device.",7/2/24,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-nxos-cmd-injection-xD9OhyOP,Apr-24,"Velvet Ant, Ghost Emperor",Unknown,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2024-20399
F5,F5 BIG-IP Traffic Management User Interface (TMUI) Remote Code Execution Vulnerability,CVE-2020-5902,9.8,7/1/20,7/1/20,Known,F5 BIG-IP Traffic Management User Interface (TMUI) contains a remote code execution vulnerability in undisclosed pages.,11/3/21,https://my.f5.com/manage/s/article/K52145254,Jul-20,"Medusa, Lazarus Group","Healthcare,Insurance,Financial,Aerospace,Critical infrastructure,Media,Technology,Education,Banking,Finance,Defense,Industrial,Government,Information technology",N,38,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-5902
F5,F5 BIG-IP and BIG-IQ Centralized Management iControl REST Remote Code Execution Vulnerability,CVE-2021-22986,9.8,3/31/23,3/10/21,Known,"F5 BIG-IP and BIG-IQ Centralized Management contain a remote code execution vulnerability in the iControl REST interface that allows unauthenticated attackers with network access to execute system commands, create or delete files, and disable services.",11/3/21,https://my.f5.com/manage/s/article/K03009991,Mar-21,"APT32, Medusa, LockBit","Food,Construction,Agriculture,Legal,Telecommunication,Auto,Energy,Education,Banking,Higher education,Government,Airline,Financial,Transportation,Insurance,Manufacturing,Pharmaceuticals,Healthcare,Retail,Cryptocurrency,Financial services,Critical infrastructure",Y,45,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2021-22986
F5,F5 BIG-IP Traffic Management Microkernel Buffer Overflow,CVE-2021-22991,9.8,3/31/21,3/10/21,Unknown,"The Traffic Management Microkernel of BIG-IP ASM Risk Engine has a buffer overflow vulnerability, leading to a bypassing of URL-based access controls.",1/18/22,https://my.f5.com/manage/s/article/K56715231,Unknown,Unknown,Finance,N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2021-22991
F5,F5 BIG-IP Missing Authentication Vulnerability,CVE-2022-1388,9.8,5/5/22,5/4/22,Known,"F5 BIG-IP contains a missing authentication in critical function vulnerability which can allow for remote code execution, creation or deletion of files, or disabling services.",5/10/22,https://my.f5.com/manage/s/article/K23605346,May-22,"MirrorFace, Lazarus Group, Pioneer Kitten, Fox Kitten, Lemon Sandstorm, Br0k3r, xplfinder","Education,Military,Industrial,Critical infrastructure,Healthcare,Political,Communications,Aerospace,Media,Government,Defense",Y,49,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-1388
F5,F5 BIG-IP Configuration Utility SQL Injection Vulnerability,CVE-2023-46748,8.8,10/26/23,10/26/23,Unknown,F5 BIG-IP Configuration utility contains an SQL injection vulnerability that may allow an authenticated attacker with network access through the BIG-IP management port and/or self IP addresses to execute system commands. This vulnerability can be used in conjunction with CVE-2023-46747.,10/31/23,https://my.f5.com/manage/s/article/K000137365,Oct-23,Lazarus Group,"Finance,Cryptocurrency,Military",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-46748
